Title,Note,URL,Comment
Panda Noodle Bar,,https://www.google.com/maps/place/Panda+Noodle+Bar/data=!4m2!3m1!1s0x5490153792fcf707:0x6968b51cd7ee9395,
Arches National Park Visitor Center,,https://www.google.com/maps/place/Arches+National+Park+Visitor+Center/data=!4m2!3m1!1s0x87480b263e815631:0x98757620e932c562,
Devil's Garden Trail,,https://www.google.com/maps/place/Devil's+Garden+Trail/data=!4m2!3m1!1s0x8748778d7fcc775f:0x7701fbf4c1ffd6b7,
Fiery Furnace Viewpoint,,https://www.google.com/maps/place/Fiery+Furnace+Viewpoint/data=!4m2!3m1!1s0x8747d89dd45b2655:0x1b11fe36b41c2c4c,
Salt Valley Overlook,,https://www.google.com/maps/place/Salt+Valley+Overlook/data=!4m2!3m1!1s0x87487620e42e8d67:0xfffb8cccbac28d07,
Panorama Point,,https://www.google.com/maps/place/Panorama+Point/data=!4m2!3m1!1s0x8747df4d26465c29:0xed0f0d00d91ef5e9,
Double Arch Viewpoint and Trail,,https://www.google.com/maps/place/Double+Arch+Viewpoint+and+Trail/data=!4m2!3m1!1s0x8747df0e987b8773:0x60e215628b8d8752,
Balanced Rock Trailhead,,https://www.google.com/maps/place/Balanced+Rock+Trailhead/data=!4m2!3m1!1s0x8747df5f2623701d:0x2fcf2651042fae7e,
Courthouse Towers Viewpoint and Trailhead,,https://www.google.com/maps/place/Courthouse+Towers+Viewpoint+and+Trailhead/data=!4m2!3m1!1s0x874875316b7481bb:0xd3e454111a70ea53,
La Sal Mountains Viewpoint,,https://www.google.com/maps/place/La+Sal+Mountains+Viewpoint/data=!4m2!3m1!1s0x87480ab6145dc74d:0xe447f9a7c8ac3674,
Park Avenue Trailhead,,https://www.google.com/maps/place/Park+Avenue+Trailhead/data=!4m2!3m1!1s0x87480acec092e46d:0xa5661dabdbefb019,
Upper Delicate Arch Viewpoint Trail,,https://www.google.com/maps/place/Upper+Delicate+Arch+Viewpoint+Trail/data=!4m2!3m1!1s0x8747d9003b364d1f:0x60f10fe91968854c,
Sinks Canyon State Park,,https://www.google.com/maps/place/Sinks+Canyon+State+Park/data=!4m2!3m1!1s0x8759a9fbf960fe45:0x77108702f3c0631f,
Cathedral Gorge State Park,,https://www.google.com/maps/place/Cathedral+Gorge+State+Park/data=!4m2!3m1!1s0x80b66f48bcfa983d:0xd1477d4b8a872572,
Kodachrome Basin State Park,,https://www.google.com/maps/place/Kodachrome+Basin+State+Park/data=!4m2!3m1!1s0x87356d79347ee3b3:0xd2a5b3fbf251bb00,
Goblin Valley State Park,,https://www.google.com/maps/place/Goblin+Valley+State+Park/data=!4m2!3m1!1s0x8749bd7d8ede2169:0x3895cdf0b7d38cf9,
"46°26'58.9""N 9°48'21.7""E",,"https://www.google.com/maps/search/41.706496,-114.596742",
Canyonlands National Park,,https://www.google.com/maps/place/Canyonlands+National+Park/data=!4m2!3m1!1s0x8747e1ee4518a6a9:0x15a452a9c502e6aa,
Mesa Verde National Park,,https://www.google.com/maps/place/Mesa+Verde+National+Park/data=!4m2!3m1!1s0x873960bf2ed7711f:0x79f695a21bf61863,
Rocky Mountain National Park,,https://www.google.com/maps/place/Rocky+Mountain+National+Park/data=!4m2!3m1!1s0x876979e4455903e9:0xfa27ee43a78e8217,
Columbia River Gorge,,https://www.google.com/maps/place/Columbia+River+Gorge/data=!4m2!3m1!1s0x5495de044c57af0f:0x2dd808946f16c57,
The Wave,,https://www.google.com/maps/place/The+Wave/data=!4m2!3m1!1s0x8734f1a426066667:0xe7c1ca7e4db0d03,
University of Washington,,https://www.google.com/maps/place/University+of+Washington/data=!4m2!3m1!1s0x549014929d8535eb:0x6b742c7901b82ba3,
Dough Zone Dumpling House University District,,https://www.google.com/maps/place/Dough+Zone+Dumpling+House+University+District/data=!4m2!3m1!1s0x5490151615a238ff:0x8c9b23667ab18673,
Palouse Falls,,https://www.google.com/maps/place/Palouse+Falls/data=!4m2!3m1!1s0x549f4eaa1f0acd03:0x17554ba788a2203b,
